,Year,Country Name,"Agriculture, value added (% of GDP)",CO2 emissions (metric tons per capita),Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"Fertility rate, total (births per woman)",GDP growth (annual %),Imports of goods and services (% of GDP),"Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population density (people per sq. km of land area),"Services, etc., value added (% of GDP)"
0,1962,Afghanistan,,0.0737813379863999,21.2764223318,,,4.87805112036,7.45,,9.3495933059,,,33.219902439,14.3120607787,
1,1962,Albania,,1.43995596379,,,,,6.282,,,,,64.1628536585,62.456897810200005,
2,1962,Algeria,,0.484953660141,,,,19.7938726751,7.614,-19.6850418178,20.818646682,,2.35127904144,47.045,4.90824019414,
3,1962,American Samoa,,,,,,,,,,,,,105.59,
4,1962,Andorra,,,,,,,,,,,,,32.714893617,
5,1962,Angola,,0.216025342555,,,,,7.396,,,,,33.7875853659,4.384298548169999,
6,1962,Antigua and Barbuda,,1.82337376356,,,,,4.343999999999999,,,,,62.5985365854,127.979545455,
7,1962,Arab World,,0.760995978569,18.1686895397,,,,6.96445371647,,,,,48.008602901,7.1684738533,
8,1962,Argentina,,2.5223921045,17.265976864000002,,,4.691842759,3.089,-0.8520215234819999,9.383682890569998,,28.8718416517,65.43260975609999,7.778623811980001,
9,1962,Armenia,,,,,,,4.435,,,,,66.70985365850001,70.3256059009,
10,1962,Aruba,,,,,,,4.471,,,,,66.3655365854,312.366666667,
11,1962,Australia,,8.83568804692,42.9653479093,2012.66058462,3172.97486502,13.9461529796,3.442,1.32757523914,12.6337726709,,-0.0833122717438999,70.9424390244,1.3982791611899998,
12,1962,Austria,,4.7553616731,37.9665923433,2006.77039562,1675.87362115,23.4163731876,2.8,2.64867511295,22.2017169658,,3.34020321439,69.3095121951,86.3388713974,
13,1962,Azerbaijan,,,,,,,5.591,,,,,61.6445853659,50.0806085295,
14,1962,"Bahamas, The",,5.996432199400001,,,,,4.45,10.4519718907,,,1.08963254401,63.408024390200005,12.0962037962,
15,1962,Bahrain,,9.19360857735,,,,,7.167999999999999,,,,,54.8182682927,250.879710145,
16,1962,Bangladesh,57.0185740229,,,,,10.7467512833,6.794,5.45303096987,10.8080969924,7.96386176173,0.0222234958282999,47.08397560979999,392.030452485,35.017564215300006
17,1962,Barbados,,1.11941062154,,,,,4.269,,,,,61.6961707317,540.893023256,
18,1962,Belarus,,,,,,,2.5,,,,,68.6358292683,41.1749556301,
19,1962,Belgium,,10.6411896304,34.3334938872,1753.14389185,2810.06114801,40.5730913202,2.59,5.21200350926,40.5845519258,,1.6676919464700002,70.21951219510001,,
20,1962,Belize,,0.71540933781,,,,,6.46,4.892652180280001,,,1.35696458794,61.0743414634,4.26957474792,
21,1962,Benin,44.709272675200005,0.0542015282643,7.112051577510001,,,3.51782319656,6.394,-3.42640982288,9.9593044611,9.79130917171,3.7805611359699993,38.1894146341,22.1996452643,45.499418153
